,distance,position
1,37.050689697265625,0
2,53.19562911987305,20
3,53.19562911987305,20
4,54.43673324584961,39
6,56.430320739746094,36
7,48.22439193725586,671
9,38.530601501464844,3
10,40.04132843017578,3
11,63.50025939941406,4751
12,38.964866638183594,2
13,47.7186279296875,34
14,48.10051727294922,9
15,53.660770416259766,35
16,35.99216079711914,0
17,51.14723205566406,30
18,52.51182556152344,77
19,51.063880920410156,182
20,53.73267364501953,60
21,62.4877815246582,241
22,60.27189254760742,69
23,47.80327224731445,43
24,42.358036041259766,10
25,40.5580940246582,0
26,61.004173278808594,6062
27,58.369422912597656,666
28,43.06736373901367,2
29,39.518165588378906,5
30,35.61824035644531,0
31,31.397159576416016,1
32,53.96559143066406,656
33,44.28266143798828,10
34,45.18853759765625,5
35,53.269775390625,585
38,32.23587417602539,0
39,22.504718780517578,0
41,37.17144775390625,2
43,49.528995513916016,27
44,49.462188720703125,71
46,26.766292572021484,0
47,31.675443649291992,0
48,43.00431823730469,3
49,40.98896026611328,2
50,31.2744140625,0
51,33.534061431884766,0
52,,-1
53,36.086856842041016,0
54,50.272457122802734,479
55,47.32835388183594,41
56,53.79331970214844,308
57,55.87422180175781,690
58,41.76995849609375,16
59,43.58294677734375,19
60,39.3663330078125,3
61,48.4420166015625,39
62,48.507240295410156,11
63,30.55765151977539,5
64,37.705322265625,14
65,47.70526123046875,186
66,38.11224365234375,0
67,37.700260162353516,0
68,32.23957824707031,0
70,39.585941314697266,13
71,46.491668701171875,2
72,36.563968658447266,9
74,34.033348083496094,0
75,41.59002685546875,2
76,45.96162414550781,0
77,48.07843017578125,1
78,50.7175178527832,8
80,39.62824249267578,4
81,31.21282196044922,1
82,52.63621520996094,114
83,49.104801177978516,58
84,42.243709564208984,59
85,37.51227569580078,154
86,37.249420166015625,76
87,42.58510971069336,142
88,45.28074645996094,122
89,41.47996520996094,118
90,42.61332702636719,42
91,45.336158752441406,7
92,34.243038177490234,3
93,52.536705017089844,144
94,34.5872802734375,5
95,43.37626266479492,2
96,32.873626708984375,0
97,31.099525451660156,0
98,33.66852569580078,0
99,33.301612854003906,0
100,51.041908264160156,11
103,41.57086944580078,50
104,33.7618522644043,10
105,53.03001022338867,0
106,35.14988708496094,0
107,53.86861801147461,155
109,63.40679931640625,1935
110,61.663841247558594,370
111,53.60003662109375,15
112,32.89046096801758,0
113,43.86676025390625,7
115,39.33106994628906,0
116,52.85418701171875,62
117,41.73162078857422,1
118,32.177734375,0
119,60.156166076660156,245
120,32.692405700683594,0
121,36.00361633300781,0
122,53.764076232910156,10
123,36.09260940551758,0
124,53.21110534667969,155
125,36.87290954589844,5
126,35.976844787597656,0
127,51.35034942626953,9
128,40.11351776123047,0
129,17.311073303222656,0
130,56.09968566894531,182
131,42.016868591308594,0
132,43.57490539550781,0
134,25.786174774169922,0
135,48.100128173828125,1
136,24.61035919189453,0
137,58.75653076171875,545
138,47.237361907958984,19
139,27.727371215820312,0
140,29.470211029052734,0
142,38.16223907470703,0
143,52.145896911621094,67
144,55.75221252441406,103
145,31.251888275146484,0
147,39.11070251464844,0
149,51.80827331542969,3
150,36.749656677246094,0
