,distance,position
1,32.14315414428711,7
2,39.70648956298828,0
3,39.70648956298828,0
4,30.088703155517578,0
6,39.6279296875,11
7,36.17182540893555,24
9,34.01519012451172,4
10,35.40076446533203,4
11,40.15147399902344,56
12,33.407047271728516,12
13,29.380718231201172,3
14,29.59027862548828,2
15,45.544620513916016,171
16,27.309358596801758,0
17,40.304195404052734,255
18,46.532440185546875,104
19,41.238800048828125,78
20,37.543636322021484,148
21,37.44929122924805,108
22,39.97050857543945,22
23,41.325218200683594,55
24,29.638626098632812,4
25,32.13787841796875,0
26,41.576263427734375,26
27,48.174781799316406,303
28,30.80238151550293,7
29,37.854331970214844,12
30,35.18291091918945,4
31,30.49291229248047,2
32,35.587486267089844,20
33,26.631397247314453,10
34,26.506675720214844,7
35,40.802757263183594,182
38,23.03560447692871,0
39,14.575502395629883,0
41,36.98792266845703,2
43,44.416568756103516,59
44,33.28826141357422,2
46,25.899860382080078,0
47,26.434804916381836,1
48,28.218769073486328,6
49,35.6292724609375,8
50,25.739864349365234,0
51,23.157352447509766,0
52,47.781307220458984,492
53,28.902769088745117,0
54,41.591678619384766,82
55,30.217185974121094,12
56,47.95858383178711,28
57,49.91648864746094,52
58,30.929458618164062,13
59,34.054054260253906,22
60,26.190670013427734,1
61,38.671913146972656,34
62,27.89537811279297,8
63,24.367778778076172,1
64,28.387401580810547,2
65,40.59969711303711,26
66,23.176849365234375,0
67,23.43589973449707,0
68,22.13853645324707,0
70,31.566482543945312,0
71,40.578636169433594,14
72,33.16510772705078,15
74,28.923633575439453,1
75,30.382225036621094,0
76,28.640790939331055,0
77,33.12769317626953,0
78,33.569759368896484,0
80,46.82069778442383,1
81,37.30552291870117,83
82,48.446319580078125,798
83,42.49212646484375,105
84,37.8232536315918,91
85,39.16083526611328,73
86,32.04098892211914,94
87,43.038734436035156,111
88,45.334312438964844,346
89,33.575157165527344,141
90,38.07184600830078,70
91,44.82924270629883,66
92,44.30397033691406,26
93,47.09439468383789,200
94,52.605621337890625,111
95,36.70124053955078,12
96,26.457632064819336,0
97,25.474712371826172,0
98,33.34397888183594,0
99,21.315471649169922,0
100,30.381420135498047,0
103,33.746524810791016,4
104,30.413131713867188,4
105,37.39167404174805,1
106,25.959552764892578,0
107,43.76749038696289,45
109,39.25434875488281,25
110,40.9773063659668,98
111,43.93385696411133,49
112,28.74941062927246,1
113,35.72258377075195,0
115,25.783620834350586,0
116,34.24565124511719,14
117,31.793581008911133,0
118,21.86358642578125,0
119,42.479679107666016,129
120,24.117664337158203,0
121,28.167461395263672,0
122,41.511688232421875,0
123,25.54463768005371,0
124,32.93928909301758,0
125,27.43752098083496,5
126,29.753637313842773,0
127,39.63692092895508,0
128,34.313053131103516,0
129,,-1
130,38.18046951293945,41
131,32.890499114990234,5
132,36.934627532958984,12
134,18.647666931152344,0
135,33.316932678222656,0
136,23.7841796875,1
137,42.83877182006836,281
138,30.541780471801758,18
139,19.970542907714844,0
140,25.16887664794922,0
142,34.30967330932617,2
143,34.21638107299805,16
144,36.13220977783203,17
145,24.81696891784668,0
147,35.14728546142578,0
149,34.06608963012695,0
150,30.051441192626953,0
