,distance,position
1,30.027090072631836,2
2,31.01520347595215,0
3,31.01520347595215,0
4,33.62559127807617,1
6,39.16950988769531,158
7,30.461734771728516,92
9,26.67512321472168,2
10,27.24542808532715,2
11,40.32303237915039,141
12,23.921560287475586,0
13,25.09789276123047,8
14,23.233135223388672,1
15,39.443782806396484,58
16,32.08492660522461,0
17,38.60299301147461,56
18,42.214576721191406,3152
19,34.375797271728516,324
20,36.66548156738281,312
21,40.892120361328125,740
22,46.804744720458984,346
23,31.92088508605957,148
24,35.43053436279297,5
25,31.92435073852539,0
26,36.642234802246094,186
27,39.20856475830078,113
28,35.06407165527344,7
29,28.237241744995117,1
30,30.63368797302246,0
31,20.503036499023438,0
32,36.97930908203125,178
33,30.738590240478516,9
34,31.100358963012695,7
35,35.228492736816406,688
38,22.920156478881836,0
39,18.95702362060547,0
41,32.01983642578125,2
43,29.86363983154297,7
44,29.531150817871094,0
46,24.17387580871582,0
47,20.52269172668457,1
48,30.00457000732422,0
49,30.739978790283203,2
50,26.163040161132812,0
51,23.55136489868164,0
52,44.44188690185547,368
53,27.736793518066406,0
54,32.8337516784668,9
55,29.158477783203125,3
56,39.62479019165039,66
57,40.078880310058594,167
58,30.611730575561523,40
59,34.14980697631836,311
60,36.99929428100586,50
61,33.39992904663086,17
62,25.866867065429688,0
63,21.859508514404297,3
64,26.10936737060547,33
65,29.00910186767578,32
66,31.23876953125,0
67,32.38655090332031,0
68,24.229415893554688,0
70,27.3306884765625,0
71,31.367477416992188,0
72,32.94977569580078,39
74,27.347780227661133,2
75,28.222780227661133,2
76,27.25053596496582,0
77,33.59973907470703,0
78,32.818904876708984,1
80,35.33596420288086,2
81,20.898818969726562,10
82,28.489669799804688,4
83,36.54719924926758,26
84,31.386232376098633,16
85,23.003894805908203,15
86,28.15012550354004,81
87,32.270511627197266,93
88,32.364479064941406,313
89,32.20092010498047,22
90,30.780086517333984,31
91,26.702342987060547,16
92,26.271963119506836,4
93,32.631996154785156,23
94,29.832609176635742,13
95,30.72960662841797,1
96,24.252498626708984,0
97,27.861125946044922,0
98,25.323162078857422,0
99,22.82638168334961,0
100,29.61635971069336,0
103,26.897546768188477,1
104,21.654438018798828,3
105,31.648054122924805,0
106,30.155349731445312,0
107,42.57438278198242,31
109,29.32879638671875,2
110,43.862091064453125,42
111,35.02622985839844,1
112,27.579349517822266,4
113,28.03575897216797,0
115,25.158855438232422,0
116,38.273643493652344,22
117,29.4194278717041,0
118,22.68313217163086,0
119,,-1
120,22.05682373046875,0
121,24.688600540161133,0
122,38.668582916259766,4
123,28.365657806396484,0
124,36.484405517578125,38
125,27.41376495361328,2
126,30.952037811279297,0
127,35.203041076660156,2
128,33.773536682128906,2
129,,-1
130,33.78108215332031,29
131,37.81102752685547,1
132,27.9866886138916,0
134,21.318870544433594,0
135,35.52642822265625,6
136,24.221084594726562,2
137,,-1
138,31.692062377929688,15
139,23.593189239501953,0
140,24.864511489868164,1
142,31.255268096923828,2
143,28.12222671508789,12
144,31.74484634399414,15
145,29.632015228271484,0
147,30.450580596923828,0
149,32.983455657958984,0
150,28.985132217407227,2
