,distance,position
1,57.6524658203125,158
2,34.771392822265625,20
3,55.692291259765625,86
4,66.43807220458984,3359
6,42.621707916259766,1
7,48.253604888916016,186
9,46.56416320800781,170
10,31.02161407470703,0
11,61.779441833496094,1378
12,47.742042541503906,80
13,35.3061408996582,7
14,40.72921371459961,32
15,45.10987091064453,378
16,43.5517463684082,4
17,64.7415771484375,5965
18,36.118797302246094,111
19,36.67369842529297,81
20,43.137168884277344,8
21,42.130027770996094,12
22,40.569847106933594,195
23,40.380733489990234,6
24,39.801361083984375,1
25,60.572265625,113
26,38.18070602416992,18
27,Not Found,-1
28,47.298553466796875,2
29,54.45970916748047,929
30,43.06937789916992,500
31,37.43487548828125,15
32,32.73957061767578,3
33,44.470123291015625,1249
34,44.470123291015625,1249
35,39.61884307861328,6
36,32.420753479003906,0
37,29.54572868347168,0
38,61.63481903076172,253
39,19.115577697753906,0
40,65.88099670410156,1745
41,52.237098693847656,72
42,36.14309310913086,0
43,45.235130310058594,642
44,39.589439392089844,126
46,55.46527862548828,1136
47,37.56339645385742,104
48,44.29191589355469,15
49,45.75489807128906,171
50,48.907203674316406,85
51,52.12886047363281,199
52,53.68426513671875,76
53,51.339141845703125,45
54,45.9434814453125,1728
55,43.08063888549805,400
56,46.40424728393555,208
57,45.39578628540039,194
58,39.669471740722656,42
59,41.20891571044922,262
60,52.36001968383789,1245
61,54.8774528503418,324
62,38.71150588989258,14
63,48.062774658203125,31
64,47.373069763183594,27
65,Not Found,-1
66,53.47831344604492,4
67,30.53025245666504,0
68,58.16596603393555,476
70,43.832340240478516,2
71,48.84468078613281,17
72,48.07402038574219,36
73,48.04509735107422,5
74,52.057308197021484,3307
75,40.079917907714844,102
76,48.4537353515625,15
77,50.6263427734375,497
78,49.30569076538086,98
81,41.671146392822266,31
83,35.742313385009766,30
84,37.81810760498047,20
85,40.332794189453125,22
86,46.85765075683594,33
88,38.55485916137695,121
89,38.55485916137695,121
90,36.83897018432617,75
91,38.55485916137695,121
92,30.006925582885742,0
93,36.83897018432617,75
95,48.23134231567383,153
96,45.90595245361328,177
97,40.479671478271484,83
98,40.755035400390625,131
99,51.148494720458984,56
100,26.00087547302246,3
101,35.967655181884766,69
102,36.08403015136719,41
103,45.784339904785156,858
105,38.92332077026367,7
106,30.013124465942383,1
107,38.92332077026367,7
108,38.92332077026367,7
109,38.92332077026367,7
110,38.92332077026367,7
112,47.99537658691406,247
113,25.707191467285156,15
114,39.7776985168457,163
115,48.65306854248047,98
117,34.752899169921875,34
118,48.326995849609375,178
119,40.54719924926758,13
120,35.31425476074219,1
121,49.00569534301758,148
122,49.859100341796875,645
123,49.83299255371094,1577
124,51.96040725708008,1993
125,31.512592315673828,1
126,28.837112426757812,1
127,Not Found,-1
128,47.4044075012207,941
129,49.90532684326172,8
130,53.264503479003906,4759
131,62.526206970214844,2721
132,29.46770668029785,0
133,Not Found,-1
134,51.35275650024414,19
135,39.38145065307617,8
136,42.319149017333984,22
137,35.25614929199219,0
139,60.827247619628906,112
140,43.222103118896484,6
141,41.52894592285156,2
142,44.64476776123047,303
143,49.85981369018555,12
144,43.29296112060547,24
145,35.41118240356445,1
146,61.916587829589844,2949
147,47.45498275756836,4
148,38.515724182128906,2
149,48.04389190673828,184
150,48.970149993896484,1
151,50.94786834716797,2
152,43.430328369140625,0
153,25.820133209228516,0
154,50.04856872558594,118
155,52.023284912109375,69
156,53.90864562988281,105
157,49.27615737915039,22
158,46.877784729003906,11
159,32.19927978515625,0
160,29.93299674987793,1
161,54.20306396484375,1564
162,53.894439697265625,97
163,30.827516555786133,0
164,51.37757873535156,378
166,36.23258590698242,1
167,56.451194763183594,1035
168,54.185394287109375,828
169,48.263309478759766,373
170,Not Found,-1
171,32.12994384765625,2
173,37.11342239379883,51
174,37.11342239379883,51
