,distance,position
1,53.576560974121094,1766
2,31.795169830322266,8
3,39.17736053466797,0
4,35.20966720581055,22
6,47.66653823852539,288
7,36.998443603515625,1
9,48.684600830078125,11
10,32.4857177734375,3
11,48.59906768798828,192
12,40.48640441894531,5
13,33.4959602355957,19
14,32.83149337768555,11
15,38.50666046142578,53
16,32.21444320678711,2
17,48.71247863769531,603
18,31.89069366455078,51
19,36.288795471191406,104
20,36.34697723388672,33
21,35.004859924316406,27
22,45.435028076171875,581
23,37.46116256713867,8
24,29.149534225463867,17
25,45.810569763183594,86
26,32.63579177856445,20
27,56.480587005615234,5730
28,34.95629119873047,4
29,59.231842041015625,2642
30,46.68608856201172,446
31,38.44947052001953,107
32,34.79279708862305,11
33,44.33583068847656,2194
34,44.33583068847656,2194
35,41.693634033203125,145
36,26.478702545166016,1
37,25.271526336669922,0
38,40.078773498535156,103
39,13.897622108459473,0
40,54.83115768432617,1001
41,46.01300811767578,115
42,34.95224380493164,26
43,46.081295013427734,1580
44,50.256187438964844,1682
46,46.928016662597656,1108
47,36.91794204711914,18
48,39.11888885498047,1
49,41.73971939086914,168
50,38.395606994628906,12
51,38.595550537109375,19
52,42.94310760498047,91
53,36.325096130371094,10
54,44.09648513793945,3043
55,34.85293197631836,12
56,37.364845275878906,46
57,41.568214416503906,24
58,35.0105094909668,25
59,39.771095275878906,122
60,42.599403381347656,192
61,41.05113220214844,85
62,30.006534576416016,22
63,51.84048080444336,1839
64,50.81710433959961,1569
65,46.370025634765625,510
66,36.02586364746094,1
67,36.33609390258789,5
68,41.42633056640625,21
70,43.17412185668945,43
71,52.55886459350586,31
72,47.13563537597656,10
73,28.927490234375,0
74,51.32419204711914,1999
75,40.81108856201172,69
76,38.381919860839844,0
77,46.20225524902344,455
78,32.429019927978516,0
81,42.348876953125,127
83,50.747886657714844,545
84,47.90309143066406,135
85,55.08256530761719,397
86,50.75807189941406,77
88,42.715003967285156,219
89,42.715003967285156,219
90,43.81065368652344,262
91,42.715003967285156,219
92,46.428260803222656,95
93,43.81065368652344,262
95,34.716392517089844,0
96,35.56862258911133,8
97,45.50347900390625,299
98,54.817779541015625,2622
99,47.4625244140625,61
100,42.726715087890625,10
101,40.62324523925781,191
102,48.197044372558594,305
103,50.82416534423828,3940
105,41.92192077636719,55
106,52.10716247558594,381
107,41.92192077636719,55
108,41.92192077636719,55
109,41.92192077636719,55
110,41.92192077636719,55
112,47.91352844238281,475
113,41.42631530761719,63
114,36.584564208984375,228
115,50.80839157104492,354
117,51.164337158203125,53
118,50.15691375732422,270
119,33.877376556396484,18
120,37.951290130615234,1
121,31.81497573852539,21
122,35.617347717285156,96
123,40.794410705566406,37
124,40.657222747802734,52
125,27.50997543334961,1
126,24.58045196533203,2
127,Not Found,-1
128,36.9185905456543,41
129,32.785213470458984,11
130,41.65815734863281,882
131,44.82963562011719,820
132,27.08995819091797,0
133,53.868553161621094,2443
134,44.111351013183594,11
135,35.79502868652344,5
136,38.56481170654297,33
137,32.7437744140625,12
139,42.02950668334961,132
140,31.32292366027832,6
141,32.95439147949219,5
142,41.655025482177734,430
143,38.217987060546875,5
144,39.476722717285156,86
145,32.08816909790039,0
146,40.09690856933594,215
147,43.800437927246094,43
148,27.459989547729492,2
149,41.31437683105469,261
150,42.09978103637695,1
151,37.26716995239258,3
152,28.8990421295166,0
153,Not Found,-1
154,42.85261917114258,75
155,50.123863220214844,1817
156,42.98432922363281,434
157,40.816688537597656,40
158,34.70927810668945,6
159,28.35828971862793,0
160,22.244850158691406,0
161,58.60872268676758,1629
162,36.27651596069336,28
163,31.97533416748047,6
164,43.11919403076172,475
166,31.709335327148438,0
167,39.33839416503906,103
168,42.04179763793945,74
169,42.329124450683594,317
170,50.26594924926758,670
171,34.13519287109375,1
173,28.823352813720703,0
174,28.823352813720703,0
