,distance,position
1,46.14789962768555,650
2,24.980667114257812,23
3,32.85548400878906,0
4,40.40559005737305,189
6,34.12275695800781,19
7,26.58391571044922,0
9,27.657215118408203,0
10,20.085552215576172,0
11,45.88871765136719,681
12,28.6205997467041,0
13,24.103572845458984,18
14,29.695579528808594,89
15,30.89612579345703,150
16,31.652008056640625,3
17,46.871925354003906,1647
18,24.636720657348633,53
19,30.162620544433594,114
20,28.528972625732422,34
21,29.3077392578125,60
22,30.83980941772461,389
23,25.655298233032227,0
24,31.22934913635254,9
25,46.02709197998047,500
26,26.664058685302734,8
27,38.882957458496094,1778
28,36.239524841308594,9
29,37.85994338989258,185
30,31.021265029907227,199
31,28.670804977416992,41
32,24.485332489013672,9
33,31.712846755981445,1167
34,31.712846755981445,1167
35,33.36686706542969,13
36,26.05586814880371,6
37,24.531723022460938,5
38,37.19704818725586,28
39,18.867475509643555,0
40,Not Found,-1
41,41.089725494384766,2410
42,40.48122024536133,49
43,33.70854949951172,934
44,29.732358932495117,212
46,43.126041412353516,781
47,25.17485809326172,19
48,30.578330993652344,1
49,34.937217712402344,288
50,31.378755569458008,4
51,32.981422424316406,11
52,32.162654876708984,1
53,34.207298278808594,43
54,29.831113815307617,687
55,29.449092864990234,18
56,33.55031204223633,418
57,34.845420837402344,185
58,28.056982040405273,7
59,32.024261474609375,516
60,37.829185485839844,581
61,38.12696838378906,735
62,19.677335739135742,0
63,Not Found,-1
64,44.46442413330078,6219
65,Not Found,-1
66,36.8416633605957,30
67,26.895755767822266,3
68,42.385154724121094,2039
70,26.422250747680664,4
71,27.78712272644043,3
72,25.864978790283203,4
73,28.888193130493164,0
74,35.87335968017578,1231
75,28.343734741210938,24
76,32.43060302734375,0
77,33.77829360961914,76
78,28.459890365600586,5
81,30.121150970458984,181
83,25.46741485595703,22
84,30.07307243347168,28
85,32.43689727783203,14
86,35.090484619140625,41
88,30.334327697753906,45
89,30.334327697753906,45
90,30.994022369384766,71
91,30.334327697753906,45
92,25.18682098388672,0
93,30.994022369384766,71
95,35.13911819458008,47
96,33.47628402709961,64
97,29.43392562866211,60
98,29.3316593170166,123
99,37.24397277832031,209
100,21.481887817382812,10
101,24.029727935791016,34
102,27.999197006225586,104
103,31.42898178100586,692
105,30.577903747558594,3
106,23.750843048095703,1
107,30.577903747558594,3
108,30.577903747558594,3
109,30.577903747558594,3
110,30.577903747558594,3
112,33.12293243408203,89
113,16.300554275512695,2
114,28.947214126586914,186
115,34.366302490234375,80
117,26.230148315429688,24
118,36.77951431274414,337
119,26.347389221191406,23
120,24.40141487121582,0
121,36.62590789794922,362
122,35.896759033203125,249
123,27.535968780517578,20
124,25.874282836914062,8
125,26.156387329101562,0
126,23.156593322753906,1
127,Not Found,-1
128,31.85707664489746,109
129,29.142587661743164,1
130,35.66236877441406,3643
131,41.36275863647461,1700
132,20.897750854492188,0
133,Not Found,-1
134,37.7726936340332,4
135,25.466623306274414,0
136,26.901918411254883,24
137,22.25206184387207,2
139,44.44976043701172,443
140,32.81424331665039,5
141,28.56549835205078,1
142,33.91362762451172,56
143,28.310874938964844,1
144,29.537900924682617,7
145,26.885066986083984,1
146,38.01234436035156,165
147,31.80516815185547,3
148,22.319541931152344,1
149,38.757659912109375,464
150,43.40556335449219,44
151,35.12242126464844,1
152,32.21968078613281,52
153,Not Found,-1
154,39.522560119628906,1024
155,38.51599884033203,606
156,36.535308837890625,39
157,40.565311431884766,19
158,33.39881134033203,7
159,24.98980140686035,0
160,23.251081466674805,1
161,35.58902359008789,187
162,29.621891021728516,0
163,24.574203491210938,4
164,33.61397171020508,217
166,28.53384017944336,1
167,37.493492126464844,96
168,34.06781768798828,47
169,40.54754638671875,968
170,Not Found,-1
171,23.334562301635742,1
173,28.297203063964844,2
174,28.297203063964844,2
